question,answer
Who was the principal from 23.04.2014 to 24.06.2014?,Dr. k. Boopathy served as Principal (i/c) during that period.
Who was the principal from 25.06.2014 to 03.09.2014?,Dr. P. Vijayan served as Principal (i/c) during that period.
Who was the principal from 04.09.2014 to 06.01.2015,Dr.M.Chandrasekaran served as Principal (i/c) during that period.
Who was the principal from  07.01.2015 to 31.05.2016?,Dr.P.M.Kavimani  served as Principal during that period.
Who was the principal from 01.08.2013 to 22.04.2014?,Dr. P. Thamarai served as Principal (i/c) during that period.
Who was the principal from 06.01.2018 to 01.06.2018?,Dr. P. Vijayan served as Principal during that period.
Who was the principal from 05.06.2018 to 31.05.2019?,Dr. M.L.Valarmathi served as Principal during that period.
Who was the principal from 17.06.2019 to till date ?,Dr.V.Sumathy  served as Principal during that period.
Who was the principal in 2013?,Dr. P. Vijayan served as Principal (i/c) during that period.
who was the principal in 2014?,"Dr. k. Boopathy served as Principal (i/c) between 23.04.2014 to 24.06.2014,Dr.P.Vijayan served as principal between 25.06.2014 to 03.09.2014 ."
who was the principal in 2015?,"Dr.M.Chandrasekaran served as Principal (i/c) between 04.09.2014 t0 06.01.2015,Dr,P.M.Kavimani served as a principal between 07.01.2015 to 31.05.2016"
Who was the principal in 2016?,Dr.P.M.Kavimani  served as Principal during that period.
who was the principal in 2018?,"Dr. P. Vijayan served as Principal between 06.01.2018 to 01.06.2018,Dr.M.L.Valarmathi served between 05.06.2018 to 31.05.2019"
who was the principal in 2019?,"Dr.M.L.Valarmathi served between 05.06.2018 to 31.05.2019,Dr.V.Sumathy serving as a principal from 17.06.2019 to till date"
 who was the principal in 2020?,Dr.V.Sumathy  
 who was the principal in 2021?,Dr.V.Sumathy  
 who was the principal in 2022?,Dr.V.Sumathy  
 who was the principal in 2023?,Dr.V.Sumathy  
 who was the principal in 2024?,Dr.V.Sumathy  
 who was the principal in 2025?,Dr.V.Sumathy  
 who is the current principal?,Dr.V.Sumathy  
